,Year of Release,Game Title,Game Price,Score,Votes,Genre
673,2017,X-Plane 11,29.99,8.13,15631,Simulation
674,2017,Hellblade: Senua's Sacrifice,7.49,8.13,55106,Atmospheric
675,2017,Rain World,11.24,8.13,14742,Difficult
676,2017,Pictopix,6.99,8.12,1026,Puzzle
677,2017,Cogmind,19.99,8.11,1355,Traditional Roguelike
678,2017,Emily is Away Too,4.99,8.11,5363,Simulation
679,2017,Outlast 2,29.99,8.11,42539,Horror
680,2017,Tales of Berseria™,49.99,8.1,16256,Anime
681,2017,Tametsi,2.99,8.1,799,Puzzle
682,2017,Space Pirate Trainer,14.99,8.09,2752,Action
683,2017,WILL: A Wonderful World / WILL：美好世界,14.99,8.09,5168,Visual Novel
684,2017,Okami HD,19.99,8.09,7393,Adventure
685,2017,Car Mechanic Simulator 2018,19.99,8.09,45616,Simulation
686,2017,Sniper Elite 4,59.99,8.09,47122,Sniper
687,2017,Thimbleweed Park™,19.99,8.08,3563,Adventure
688,2017,Ancient Warfare 3,12.99,8.08,2027,Sandbox
689,2017,I Expect You To Die,24.99,8.08,2306,Puzzle
690,2017,Confess My Love,0.0,8.08,4406,RPG
691,2017,Nightshade／百花百狼,34.99,8.08,646,Otome
692,2017,We Were Here,0.0,8.08,22341,Co-op
693,2017,Zombie Estate 2,4.99,8.07,563,Action
694,2017,Aircar,0.0,8.07,1986,Casual
695,2017,Pinkman,0.99,8.07,538,Casual
696,2017,Zup! 6,1.99,8.07,2196,Puzzle
697,2017,Short Stories Collection of Class Tangerine,7.99,8.07,858,Casual
698,2017,Charlie Murder,9.99,8.07,1597,Action
699,2017,Prey,29.99,8.07,42603,Sci-fi
700,2017,Forts,14.99,8.07,15038,Base Building
701,2017,Ken Follett's The Pillars of the Earth,1.99,8.06,5774,Choices Matter
702,2017,Symphonic Rain,39.99,8.06,644,Visual Novel
703,2017,Dominions 5 - Warriors of the Faith,39.99,8.05,1954,Strategy
704,2017,Deep Space Waifu: FLAT JUSTICE,2.99,8.04,2210,Dating Sim
705,2017,Banyu Lintar Angin - Little Storm -,0.0,8.04,720,Casual
706,2017,The End Is Nigh,14.99,8.04,2682,Precision Platformer
707,2017,Zup! 5,1.99,8.04,2594,Puzzle
708,2017,A Sky Full of Stars 仰望夜空的星辰,17.99,8.04,748,Choose Your Own Adventure
709,2017,Consummate:Missing World 寇莎梅特：困世迷情,0.39,8.04,1011,RPG
710,2017,Subsurface Circular,5.99,8.04,1727,Adventure
711,2017,Open Sorcery,3.99,8.03,321,Adventure
712,2017,Bai Qu: Hundreds of Melodies,9.99,8.03,662,Casual
713,2017,HIVESWAP: ACT 1,7.99,8.03,3822,Adventure
714,2017,NEKO-NIN exHeart,3.99,8.03,968,Anime
715,2017,Four Last Things,2.39,8.02,921,Adventure
716,2017,"Peace, Death!",4.99,8.02,1957,Funny
717,2017,Bleed 2,9.99,8.02,783,Action
718,2017,Zup! Zero,1.99,8.02,2509,Puzzle
719,2017,The Escapists 2,19.99,8.02,26104,Strategy
720,2017,家有大貓 Nekojishi,0.0,8.01,4012,Visual Novel
721,2017,MudRunner,19.99,8.01,28001,Offroad
722,2017,Higurashi When They Cry Hou - Ch. 5 Meakashi,7.99,8.01,507,Adventure
723,2017,Under Leaves,4.99,8.01,584,Hidden Object
724,2017,Blackberry Honey,12.99,8.01,482,Visual Novel
725,2017,D'LIRIUM,4.99,8.0,894,Violent
726,2017,The Sexy Brutale,19.99,8.0,3318,Puzzle
727,2017,The Legend of Heroes: Trails in the Sky the 3rd,29.99,8.0,1502,RPG
728,2017,Paradigm,14.99,8.0,1444,Adventure
729,2017,TY the Tasmanian Tiger 2,14.99,8.0,634,Adventure
730,2017,Umineko When They Cry - Answer Arcs,29.99,8.0,826,Great Soundtrack
731,2017,Wonderful Everyday Down the Rabbit-Hole,29.99,8.0,1208,Visual Novel
732,2017,Sky Force Reloaded,9.99,7.99,1924,Shoot 'Em Up
733,2017,20XX,14.99,7.98,4097,Platformer
734,2017,Batman: The Enemy Within - The Telltale Series,14.99,7.98,7058,Adventure
735,2017,Dream Daddy: A Dad Dating Simulator,14.99,7.97,5500,Dating Sim
736,2017,Colony Survival,19.99,7.97,6642,Colony Sim
737,2017,The Dishwasher: Vampire Smile,9.99,7.96,1090,Action
738,2017,Fantasynth One,0.0,7.96,455,Audio Production
739,2017,Bridge Constructor Portal,9.99,7.96,4649,Strategy
740,2017,D&D Lords of Waterdeep,9.99,7.96,1340,Strategy
741,2017,Soulslayer～灭魂·误佳期～,9.99,7.95,550,Adventure
742,2017,SeaBed,19.99,7.95,399,Visual Novel
743,2017,Golf It!,8.99,7.95,21520,Mini Golf
744,2017,Killer Instinct,9.99,7.95,3814,Fighting
745,2017,Full Throttle Remastered,14.99,7.94,2391,Adventure
746,2017,Fate/EXTELLA,39.99,7.94,4018,Anime
747,2017,3030 Deathwar Redux - A Space Odyssey,14.99,7.94,1078,Adventure
748,2017,Love Ribbon,9.99,7.94,1777,Dating Sim
749,2017,Yomawari: Midnight Shadows,19.99,7.94,660,Horror
750,2018,RimWorld,34.99,8.73,158906,Colony Sim
751,2018,Bloons TD 6,13.99,8.71,249801,Tower Defense
752,2018,Dead Cells,24.99,8.65,130523,Adventure
753,2018,Celeste,19.99,8.65,72012,Precision Platformer
754,2018,Subnautica,29.99,8.64,226846,Open World Survival Craft
755,2018,The Forest,19.99,8.59,477964,Open World Survival Craft
756,2018,GRIS,16.99,8.55,62174,Beautiful
757,2018,Mirror,0.79,8.54,86859,Dating Sim
758,2018,Blade and Sorcery,19.99,8.53,40936,Swordplay
759,2018,DUSK,19.99,8.53,18337,FPS
760,2018,Just Shapes & Beats,19.99,8.52,16718,Rhythm
761,2018,Return of the Obra Dinn,19.99,8.48,20470,Detective
762,2018,Zup! S,1.99,8.47,11840,Puzzle
763,2018,Epic Battle Fantasy 5,24.99,8.46,4627,Funny
764,2018,Yakuza 0,19.99,8.45,58732,Story Rich
765,2018,Ultimate Custom Night,0.0,8.44,46353,Horror
766,2018,Kenshi,29.99,8.44,67579,Open World
767,2018,Cube Escape: Paradox,0.0,8.42,7767,Puzzle
768,2018,Aim Lab,0.0,8.39,86523,FPS
769,2018,Farming Simulator 19,19.99,8.37,67386,Simulation
770,2018,Summer Pockets,44.99,8.37,2185,Adventure
771,2018,The Room Three,5.99,8.37,9357,Puzzle
772,2018,Fox Hime Zero,0.59,8.37,4540,Visual Novel
773,2018,Zup! X,1.99,8.35,6163,Puzzle
774,2018,NEKOPARA Extra,4.99,8.35,3416,Anime
775,2018,House Flipper,24.99,8.35,73671,Simulation
776,2018,Lethal League Blaze,19.99,8.34,5529,Action
777,2018,Sabbat of the Witch,29.99,8.34,2092,Visual Novel
778,2018,Coloring Pixels,0.0,8.33,5967,Pixel Graphics
779,2018,Among Us,3.49,8.32,659209,Online Co-Op
780,2018,Lobotomy Corporation | Monster Management Simulation,24.99,8.32,24877,Management
781,2018,Flowers -Le volume sur ete-,19.99,8.31,1011,Visual Novel
782,2018,Into the Breach,14.99,8.3,17029,Strategy
783,2018,Acting Lessons,9.99,8.3,4724,Dating Sim
784,2018,Hello Charlotte EP3: Childhood's End,2.99,8.3,1412,Gore
785,2018,Mark of the Ninja: Remastered,19.99,8.3,4748,Stealth
786,2018,STEINS;GATE 0,34.99,8.29,4796,Visual Novel
787,2018,The Walking Dead: The Final Season,19.99,8.29,15090,Story Rich
788,2018,Maitetsu:Pure Station,24.99,8.29,3211,Dating Sim
789,2018,Meteor 60 Seconds!,0.0,8.28,4184,Funny
790,2018,Kingdom Rush Origins - Tower Defense,14.99,8.28,5260,Tower Defense
791,2018,Farm Together,9.99,8.27,19404,Agriculture
792,2018,FAR: Lone Sails,14.99,8.27,14071,Atmospheric
793,2018,Airships: Conquer the Skies,24.99,8.27,4825,Grand Strategy
794,2018,Miracle Snack Shop,9.99,8.27,2214,Dating Sim
795,2018,Zup! 8,1.99,8.26,3890,Puzzle
796,2018,Yoku's Island Express,19.99,8.26,3973,Pinball
797,2018,The Witch's House MV,14.99,8.25,2432,Horror
798,2018,SYNTHETIK: Legion Rising,1.99,8.25,11539,Roguelite
799,2018,Door Kickers: Action Squad,13.99,8.24,8831,Pixel Graphics
800,2018,Bean Battles,0.99,8.24,8690,Action
801,2018,The Void Rains Upon Her Heart,12.99,8.23,554,Action Roguelike
802,2018,CrossCode,19.99,8.22,13815,Action RPG
803,2018,The Red Strings Club,14.99,8.22,9469,Cyberpunk
804,2018,DISTRAINT 2,1.52,8.22,3352,Psychological Horror
805,2018,Frostpunk,5.99,8.21,90148,City Builder
806,2018,永冻之壳 The Shell of Permafrost,0.0,8.21,1032,RPG
807,2018,Parkitect,29.99,8.2,6364,Management
808,2018,The Messenger,19.99,8.2,8388,Retro
809,2018,KovaaK's,9.99,8.18,28008,Action
810,2018,Wandersong,19.99,8.18,2967,Music
811,2018,The Crown of Leaves,4.99,8.18,1681,Adventure
812,2018,My Brother Rabbit,14.99,8.18,1563,Adventure
813,2018,Monster Prom,11.99,8.18,12249,Dating Sim
